ilo,,Iloko,,
smn,,Inari Sami,säämegiella,
inc,,Indic languages,,collection
ine,,Indo-European languages,,collection
ind,id,Indonesian,Bahasa Indonesia,
inh,,Ingush,________ ____,
ina,ia,Interlingua (International Auxiliary Language Association),interlingua,constructed
ile,ie,"Interlingue, Occidental",Interlingue,constructed
iku,iu,Inuktitut,______,macrolanguage
ipk,ik,Inupiaq,"Iñupiaq, Iñupiatun",macrolanguage
ira,,Iranian languages,,collection
gle,ga,Irish,Gaeilge,
mga,,Middle Irish (900–1200),Gaoidhealg,historic
sga,,Old Irish (to 900),Goídelc,historic
iro,,Iroquoian languages,,collection
ita,it,Italian,italiano,
jpn,ja,Japanese,___ (____),
jav,jv,Javanese,basa Jawa (____),
jrb,,Judeo-Arabic,,macrolanguage
jpr,,Judæo-Persian,,
kbd,,Circassian,________,
kab,,Kabyle,Taqbaylit,
kac,,"Kachin, Jingpho","Jingpho, Marip",
xal,,"Kalmyk, Oirat",______ ____,
kam,,Kamba,,
kan,kn,Kannada,_____,
kau,kr,Kanuri,,macrolanguage
krc,,Karachay-Balkar,________-_______ ___,
kaa,,Kara-Kalpak,__________ ____,
krl,,Karelian,karjalan kieli,
kar,,Karen languages,,collection
kas,ks,Kashmiri,"_____, _____",
csb,,Kashubian,kaszëbsczi jãzëk,
kaw,,Kawi,Bh__a Kawi,ancient
kaz,kk,Kazakh,_____ ____,
kha,,Khasi,Khasi,
khm,km,Central Khmer,_________,
khi,,Khoisan languages,,collection
kho,,"Khotanese, Sakan",ancient,
kik,ki,"Kikuyu, Gikuyu",G_k_y_,
kmb,,Kimbundu,,
kin,rw,Kinyarwanda,kinyaRwanda,
kir,ky,"Kirghiz, Kyrgyz",______ ____,
tlh,,"Klingon, tlhIngan-Hol",tlhIngan Hol,constructed
kom,kv,Komi,____ ___,macrolanguage
kon,kg,Kongo,Kikongo,macrolanguage
kok,,Konkani,______,macrolanguage
kor,ko,Korean,"___ (___), ___ (___)",
kos,,Kosraean,Kosrae,
kpe,,Kpelle,kpele,macrolanguage
kro,,Kru languages,,collection
kua,kj,"Kuanyama, Kwanyama",,
kum,,Kumyk,_____,
kur,ku,Kurdish,Kurdî,macrolanguage
kru,,Kurukh,,
kut,,Kutenai,Ktunaxa,
lad,,Ladino,_'_____-__________,
lah,,Lahnda,______,macrolanguage (does not include Punjabi (pa/pan))
lam,,Lamba,,
lao,lo,Lao,_______,
lat,la,Latin,"latine, lingua Latina",ancient
lav,lv,Latvian,latvie_u valoda,
lez,,Lezghian,_____ ____,
lim,li,"Limburgish, Limburger, Limburgan",Limburgs,
lin,ln,Lingala,lingala,
lit,lt,Lithuanian,lietuvi_ kalba,
jbo,,Lojban,lojban,constructed
loz,,Lozi,siLozi,
lub,lu,Luba-Katanga,,
lua,,Luba-Lulua,lwaà:,
lui,,Luiseño,,
smj,,Lule Sami,sámegiella,
lun,,Lunda,chiLunda,
luo,,Luo (Kenya and Tanzania),Dholuo,
lus,,Lushai,,
ltz,lb,"Luxembourgish, Letzeburgesch",Lëtzebuergesch,
mac/mkd,mk,Macedonian,__________ _____,
mad,,Madurese,,
mag,,Magahi,,
mai,,Maithili,______,
mak,,Makasar,,
mlg,mg,Malagasy,Malagasy fiteny,macrolanguage
may/msa,ms,Malay,"bahasa Melayu, ____ _____",macrolanguage
mal,ml,Malayalam,______,
mlt,mt,Maltese,Malti,
mnc,,Manchu,_____ ________,
mdr,,Mandar,,
man,,Mandingo,,macrolanguage
mni,,Manipuri,_________,
mno,,Manobo languages,,collection
glv,gv,Manx,"Gaelg, Manninagh",
mao/mri,mi,M_ori,te reo M_ori,
mar,mr,Marathi,_____,
chm,,Mari (Russia),_____ _____,macrolanguage
mah,mh,Marshallese,Kajin M_aje_,
mwr,,Marwari,________,macrolanguage
mas,,Maasai,_l Maa,
myn,,Mayan languages,,collection
men,,Mende,M_nde,
mic,,"Mi'kmaq, Micmac","Míkmaq, Mi'gmaq",
min,,Minangkabau,Baso Minangkabau,
mwl,,Mirandese,Lhéngua Mirandesa,
moh,,Mohawk,Kanien’keha,
mdf,,Moksha,_______ ____,
mkh,,Mon-Khmer languages,,collection
lol,,Mongo,,
mon,mn,Mongolian,______ ___,macrolanguage
mos,,Mossi,Mòoré,
mun,,Munda languages,,collection
nah,,Nahuatl,"n_huatl, nawatlahtolli",collection
nau,na,Nauruan,Ekakair_ Naoero,
nav,nv,"Navajo, Navaho","Diné bizaad, Dinék_eh_í",
nde,nd,Northern Ndebele,isiNdebele,
nbl,nr,Southern Ndebele,isiNdebele,
ndo,ng,Ndonga,Owambo,
nap,,Neapolitan,napulitano,
new,,"Nepal Bhasa, Newari",Nepal Bhasa,
nep,ne,Nepali,______,
nia,,Nias,,
nic,,Niger-Kordofanian languages,,collection
ssa,,Nilo-Saharan languages,,collection
niu,,Niuean,"ko e vagahau Niu_, faka-Niue",
nqo,,N'Ko,,
nog,,Nogai,_____ ____,
non,,Old Norse,norskr,historic
nai,,North American Indian languages,,collection
sme,se,Northern Sami,"sámi, sámegiella",
nor,no,Norwegian,norsk,macrolanguage
nob,nb,Norwegian Bokmål,bokmål,
nno,nn,Norwegian Nynorsk,nynorsk,
nub,,Nubian languages,,collection
nym,,Nyamwezi,Kinyamwezi,
nyn,,Nyankole,,
nyo,,Nyoro,Runyoro,
nzi,,Nzima,,
oci,oc,Occitan (1500–),Occitan,
oji,oj,Ojibwa,________ (Anishinaabemowin),macrolanguage
ori,or,Oriya,_____,
orm,om,Oromo,Afaan Oromoo,macrolanguage
osa,,Osage,,
oss,os,"Ossetian, Ossetic",____ _____,
oto,,Otomian languages,,collection
pal,,"Pahlavi, (Middle Persian)",,ancient
pau,,Palauan,tekoi ra Belau,
pli,pi,Pali,____,ancient
pam,,"Pampanga, Kapampangan",Kapampangan,
pag,,Pangasinan,,
pap,,Papiamento,Papiamentu,
paa,,Papuan languages,,collection
per/fas,fa,Persian,_____,macrolanguage
peo,,Old Persian (ca. 600–400 BC),,historic
phi,,Philippine languages,,collection
phn,,Phoenician,,ancient
pon,,Pohnpeian,,
pol,pl,Polish,polski,
por,pt,Portuguese,português,
pra,,Prakrit,,collection
pro,,"Old Provençal, Old Occitan (–1500)",,historic
pan,pa,"Punjabi, Panjabi","______, ______",(separate from Lahnda (lah))
pus,ps,"Pashto language, Pashto",____,macrolanguage
que,qu,Quechua,"Runa Simi, Kichwa",macrolanguage
raj,,Rajasthani,_________,macrolanguage
rap,,Rapanui,"rapanui, pepito ote henua",
rar,,"Rarotongan, Cook Islands Maori",,
roa,,Romance languages,,collection
rum/ron,ro,Romanian,român_,
roh,rm,Romansh,rumantsch grischun,
rom,,Romany,"rromani _hib, Romani _ib, Romanó",macrolanguage
run,rn,Rundi,kiRundi,
rus,ru,Russian,_______ ____,
sal,,Salishan languages,,collection
sam,,Samaritan Aramaic,"_____, _____",extinct
smi,,Sami languages,,collection
smo,sm,Samoan,gagana fa'a Samoa,
sad,,Sandawe,,
sag,sg,Sango,yângâ tî sängö,
san,sa,Sanskrit,_________,ancient
sat,,Santali,______,
srd,sc,Sardinian,sardu,macrolanguage
sas,,Sasak,,
sco,,Scots,"Scots leid, Lallans",
gla,gd,"Scottish Gaelic, Gaelic",Gàidhlig,
sel,,Selkup,_________ ___,
sem,,Semitic languages,,collection
srp,sr,Serbian,"______ _____, srpski jezik",
srr,,Serer,,
shn,,Shan,,
sna,sn,Shona,chiShona,
iii,ii,"Sichuan Yi, Nuosu",__,
scn,,Sicilian,Sicilianu,
sid,,Sidamo,Sidámo 'Afó,
sgn,,Sign languages,,collection
bla,,Siksika,"siksiká, _____",
snd,sd,Sindhi,"_____ _____, ______",
sin,si,"Sinhalese, Sinhala",_____,
sit,,Sino-Tibetan languages,,collection
sio,,Siouan languages,,collection
sms,,Skolt Sami,sää_m_iõll,
den,,Slave (Athapascan),,macrolanguage
sla,,Slavic languages,,collection
slk/slo,sk,Slovak,sloven_ina,
slv,sl,Slovenian,sloven__ina,
sog,,Sogdian,,ancient
som,so,Somali,"Soomaaliga, af Soomaali",
son,,Songhay languages,,collection
snk,,Soninke,Soninkanxaane,
wen,,Sorbian languages,,collection
dsb,,Lower Sorbian,dolnoserbski,
hsb,,Upper Sorbian,hornjoserbsce,
nso,,"Northern Sotho, Pedi, Sepedi","Sesotho sa Leboa, Sepedi",
sot,st,Southern Sotho,Sesotho,
sai,,South American Indian languages,,collection
alt,,Southern Altai,_____ ____,
sma,,Southern Sami,saemien giele,
spa,es,"Spanish, Castilian","español, castellano",
srn,,Sranan Tongo,,
suk,,Sukuma,,
sux,,Sumerian,eme-_ir,ancient
sun,su,Sundanese,basa Sunda,
sus,,Susu,,
swa,sw,Swahili,Kiswahili,macrolanguage
ssw,ss,Swati,siSwati,
swe,sv,Swedish,svenska,
syr,,Syriac (Northeastern Neo-Aramaic),______,macrolanguage
tgl,tl,Tagalog,"Wikang Tagalog, _____ ______",
tah,ty,Tahitian,"te reo Tahiti, te reo M__ohi",
tai,,Tai languages,,collection
tgk,tg,Tajik,"______, ______",
tmh,,Tamashek,Tamajeq,macrolanguage
tam,ta,Tamil,_____,
tat,tt,Tatar,"_______, tatarça, _______",
tel,te,Telugu,______,
ter,,Tereno,,
tet,,Tetum,Tetun,
tha,th,Thai,_______,
tib/bod,bo,Tibetan,_______,
tig,,Tigre,"Tigré, Khasa",
tir,ti,Tigrinya,____,
tem,,Time,,
tiv,,Tiv,,
tli,,Tlingit,Lingít,
tpi,,Tok Pisin,Tok Pisin,
tkl,,Tokelau,Tokelau,
tog,,Tonga (Nyasa),chiTonga,
ton,to,Tonga (Tonga Islands),faka-Tonga,
tsi,,Tsimshian,,
tso,ts,Tsonga,Xitsonga,
tsn,tn,Tswana,Setswana,
tum,,Tumbuka,chiTumbuka,
tup,,Tupian languages,Nheengatu,
Tur,tr,Turkish,Türkçe,
ota,,"Turkish, Ottoman (1500–1928)",,historic
tuk,tk,Turkmen,_______,
tvl,,Tuvalu,'gana Tuvalu,
tyv,,Tuvinian,____ ___,
twi,tw,Twi,,
udm,,Udmurt,______ ___,
uga,,Ugaritic,,ancient
uig,ug,"Uighur, Uyghur","Uy_urq_, Uy_urçe, _______",
ukr,uk,Ukrainian,__________ ____,
umb,,Umbundu,úmbúndú,
urd,ur,Urdu,____,
uzb,uz,Uzbek,"O'zbek, _____, ______",macrolanguage
vai,,Vai,,
ven,ve,Venda,Tshiven_a,
vie,vi,Vietnamese,Ti_ng Vi_t,
vol,vo,Volapük,Volapük,constructed
vot,,Votic,va__a t_eeli,
wak,,Wakashan languages,,collection
wln,wa,Walloon,walon,
war,,Waray-Waray,"Winaray, Lineyte-Samarnon",
was,,Washo,,
wel/cym,cy,Welsh,Cymraeg,
wal,,"Wolaytta, Wolaitta",,
wol,wo,Wolof,Wolof,
xho,xh,Xhosa,isiXhosa,
sah,,Yakut,____ ____,
yao,,Yao,Chiyao,
yap,,Yapese,,
yid,yi,Yiddish,______,macrolanguage
yor,yo,Yoruba,Yorùbá,
ypk,,Yupik languages,,collection
znd,,Zande languages,Pazande,collection
zap,,Zapotec,,macrolanguage
zza,,"Zaza, Dimili, Dimli, Kirdki, Kirmanjki, Zazaki",,macrolanguage
zen,,Zenaga,Tu__ungiyya,
zha,za,"Zhuang, Chuang","Sa_ cue__, Saw cuengh",macrolanguage
zul,zu,Zulu,isiZulu,
zun,,Zuni,Shiwi,
